effectivity_date,product,price_mid
2018-05-30,KEROSENE,50.69777777777777
2018-05-30,RON 91,55.80571428571428
2018-05-30,RON 95,59.288333333333334
2018-06-05,DIESEL,53.81428571428571
2018-06-05,DIESEL PLUS,44.68571428571429
2018-06-05,KEROSENE,49.86333333333333
2018-06-05,RON 91,54.545
2018-06-05,RON 95,57.580000000000005
2018-06-12,DIESEL,53.26428571428572
2018-06-12,DIESEL PLUS,44.08571428571429
2018-06-12,KEROSENE,49.263333333333335
2018-06-12,RON 91,53.995000000000005
2018-06-12,RON 95,57.03
2018-06-20,RON 91,48.648785714285715
2018-06-20,RON 95,54.67075
2018-06-20,RON 97,57.391999999999996
2018-07-11,DIESEL,53.185
2018-07-11,DIESEL PLUS,44.17857142857143
2018-07-11,KEROSENE,49.49888888888889
2018-07-11,RON 91,53.92642857142857
2018-07-11,RON 95,57.415
2018-07-31,RON 91,47.763821428571426
2018-07-31,RON 95,55.234125000000006
2018-07-31,RON 97,58.03
2018-08-07,RON 91,47.86739285714286
2018-08-07,RON 95,55.16125
2018-08-07,RON 97,56.8365
2018-08-16,RON 91,47.88496428571428
2018-08-16,RON 95,55.196625
2018-08-16,RON 97,57.1515
2018-08-23,RON 91,48.09882142857143
2018-08-23,RON 95,55.234125
2018-08-23,RON 97,57.466499999999996
2018-08-30,RON 91,48.47128571428571
2018-08-30,RON 95,55.3375
2018-08-30,RON 97,58.6295
2018-09-04,DIESEL,55.10285714285714
2018-09-04,DIESEL PLUS,45.70214285714285
2018-09-04,KEROSENE,50.365
2018-09-04,RON 91,56.362857142857145
2018-09-04,RON 95,59.06833333333333
2018-09-18,DIESEL,56.08142857142857
2018-09-18,DIESEL PLUS,46.495000000000005
2018-09-18,KEROSENE,51.30166666666667
2018-09-18,RON 91,57.185
2018-09-18,RON 95,60.06875
2018-09-25,DIESEL,56.798571428571435
2018-09-25,DIESEL PLUS,46.904999999999994
2018-09-25,KEROSENE,51.85944444444445
2018-09-25,RON 91,58.10142857142857
2018-09-25,RON 95,60.363749999999996
2018-10-04,RON 91,51.68769230769231
2018-10-04,RON 95,57.963499999999996
2018-10-04,RON 97,60.5125
2018-10-11,RON 91,53.25811538461539
2018-10-11,RON 95,59.78975
2018-10-11,RON 97,61.5125
2018-10-15,DIESEL,57.230714285714285
2018-10-15,DIESEL PLUS,48.832857142857144
2018-10-15,KEROSENE,52.77875
2018-10-15,RON 91,58.672142857142866
2018-10-15,RON 95,61.095
2018-10-22,DIESEL,55.23142857142857
2018-10-22,DIESEL PLUS,47.85
2018-10-22,KEROSENE,52.528333333333336
2018-10-22,RON 91,56.541428571428575
2018-10-22,RON 95,57.167500000000004
2018-11-06,DIESEL,52.839999999999996
2018-11-06,DIESEL PLUS,46.17
2018-11-06,KEROSENE,51.10722222222223
2018-11-06,RON 91,54.06857142857143
2018-11-06,RON 95,56.85333333333333
2018-11-27,DIESEL,47.83357142857143
2018-11-27,DIESEL PLUS,40.864285714285714
2018-11-27,KEROSENE,46.42111111111112
2018-11-27,RON 91,49.30642857142857
2018-11-27,RON 95,52.28333333333333
2019-01-22,DIESEL,46.18285714285714
2019-01-22,DIESEL PLUS,39.300000000000004
2019-01-22,KEROSENE,44.39
2019-01-22,RON 91,48.05357142857143
2019-01-22,RON 95,48.24875
2019-01-29,DIESEL,47.202
2019-01-29,DIESEL PLUS,41.719
2019-01-29,KEROSENE,45.18666666666667
2019-01-29,RON 91,49.451
2019-01-29,RON 95,50.57333333333333
2019-02-05,DIESEL,47.209999999999994
2019-02-05,DIESEL PLUS,41.11785714285714
2019-02-05,KEROSENE,43.708125
2019-02-05,RON 91,49.167857142857144
2019-02-05,RON 95,50.958333333333336
2019-02-14,RON 91,44.784285714285716
2019-02-14,RON 95,49.23833333333334
2019-02-14,RON 97,50.315
2019-02-21,RON 91,45.55457142857143
2019-02-21,RON 95,49.61816666666667
2019-02-21,RON 97,52.83
2019-02-26,DIESEL,50.68571428571429
2019-02-26,DIESEL PLUS,43.90642857142858
2019-02-26,KEROSENE,47.696666666666665
2019-02-26,RON 91,52.62071428571429
2019-02-26,RON 95,54.629999999999995
2019-03-05,DIESEL,51.46928571428572
2019-03-05,DIESEL PLUS,43.41857142857143
2019-03-05,KEROSENE,46.86625
2019-03-05,RON 91,52.28785714285714
2019-03-05,RON 95,54.31166666666667
2019-03-19,DIESEL,53.225
2019-03-19,DIESEL PLUS,43.89142857142857
2019-03-19,KEROSENE,47.392222222222216
2019-03-19,RON 91,54.298571428571435
2019-03-19,RON 95,56.79625
2019-03-28,DIESEL,53.353899999999996
2019-03-28,DIESEL PLUS,43.523
2019-03-28,KEROSENE,48.39407142857142
2019-03-28,RON 91,50.374125
2019-03-28,RON 95,54.813250000000004
2019-03-28,RON 97,53.3425
